iter	Passed	Remaining
807	1525	362
808	1526	360
809	1527	358
810	1528	356
811	1529	354
812	1530	352
813	1532	350
814	1533	348
815	1534	346
816	1536	344
817	1537	342
818	1539	340
819	1541	338
820	1542	336
821	1544	334
822	1545	332
823	1546	330
824	1548	328
825	1548	326
826	1550	324
827	1552	322
828	1554	320
829	1555	318
830	1556	316
831	1557	314
832	1558	312
833	1559	310
834	1560	308
835	1561	306
836	1562	304
837	1563	302
838	1565	300
839	1567	298
840	1570	296
841	1572	295
842	1573	293
843	1575	291
844	1576	289
845	1577	287
846	1580	285
847	1583	283
848	1585	281
849	1585	279
850	1586	277
851	1588	275
852	1589	273
853	1590	271
854	1591	269
855	1592	267
856	1593	265
857	1594	263
858	1596	261
859	1598	260
860	1598	258
861	1600	256
862	1602	254
863	1602	252
864	1603	250
865	1605	248
866	1606	246
867	1607	244
868	1608	242
869	1610	240
870	1611	238
871	1612	236
872	1614	234
873	1615	232
874	1616	230
875	1617	228
876	1619	227
877	1621	225
878	1622	223
879	1623	221
880	1625	219
881	1628	217
882	1629	215
883	1630	213
884	1631	212
885	1633	210
886	1635	208
887	1636	206
888	1637	204
889	1638	202
890	1639	200
891	1640	198
892	1641	196
893	1642	194
894	1644	192
895	1645	190
896	1646	189
897	1647	187
898	1648	185
899	1649	183
900	1649	181
901	1650	179
902	1651	177
903	1652	175
904	1653	173
905	1654	171
906	1656	169
907	1657	167
908	1658	166
909	1659	164
910	1660	162
911	1662	160
912	1664	158
913	1665	156
914	1666	154
915	1668	153
916	1670	151
917	1671	149
918	1673	147
919	1674	145
920	1676	143
921	1677	141
922	1678	140
923	1679	138
924	1680	136
925	1681	134
926	1682	132
927	1684	130
928	1684	128
929	1686	126
930	1687	125
931	1688	123
932	1689	121
933	1691	119
934	1694	117
935	1695	115
936	1696	114
937	1697	112
938	1698	110
939	1699	108
940	1701	106
941	1702	104
942	1703	102
943	1704	101
944	1706	99
945	1707	97
946	1709	95
947	1711	93
948	1712	92
949	1714	90
950	1716	88
951	1718	86
952	1719	84
953	1720	82
954	1721	81
955	1722	79
956	1723	77
957	1724	75
958	1725	73
959	1726	71
960	1727	70
961	1728	68
962	1730	66
963	1731	64
964	1733	62
965	1733	61
966	1734	59
967	1736	57
968	1737	55
969	1739	53
970	1740	51
971	1747	50
972	1748	48
973	1749	46
974	1752	44
975	1753	43
976	1754	41
977	1756	39
978	1757	37
979	1759	35
980	1760	34
981	1761	32
982	1762	30
983	1763	28
984	1765	26
985	1767	25
986	1768	23
987	1769	21
988	1771	19
989	1772	17
990	1773	16
991	1774	14
992	1775	12
993	1777	10
994	1778	8
995	1779	7
996	1780	5
997	1781	3
998	1782	1
999	1783	0
